X,logFun(X)
0.001,-34.01690895432931
0.101,-4.531070565842718
0.201,-2.532413790758044
0.30100000000000005,-1.6928831965396685
0.401,-1.2256063219806845
0.501,-0.928967049790604
0.601,-0.7254895096681662
0.701,-0.5785825650907671
0.8009999999999999,-0.4685848885167099
0.9009999999999999,-0.38395698416632107
1.001,-0.31746871021860557
1.101,-0.2643585091347773
1.201,-0.22136331260093073
1.3010000000000002,-0.18617383497734782
1.4010000000000002,-0.15711156953735644
1.5010000000000003,-0.13292813610193463
1.6010000000000004,-0.11267852649095912
1.7010000000000005,-0.09563471057214698
1.8010000000000006,-0.08122532698734615
1.9010000000000007,-0.06899935335099017
2.001000000000001,-0.05859709458100703
2.101000000000001,-0.049725764694982036
2.201000000000001,-0.04214682231428929
2.301000000000001,-0.03566407237396574
2.401000000000001,-0.030114936064704383
2.5010000000000012,-0.02536370281572336
2.6010000000000013,-0.021296550383301912
2.7010000000000014,-0.0178172659804234
2.8010000000000015,-0.014844437048286347
2.9010000000000016,-0.012308360645698544
3.0010000000000017,-0.010149767817864157
3.1010000000000018,-0.008317452146512977
3.201000000000002,-0.006767341690271475
3.301000000000002,-0.005461437710638889
3.401000000000002,-0.004366420423595764
3.501000000000002,-0.003453597554147213
3.601000000000002,-0.0026977790931905273
3.7010000000000023,-0.0020772438940923127
3.8010000000000024,-0.001572473951408799
3.9010000000000025,-0.0011666493745386504
4.001000000000002,-8.448442531755954E-4
4.101000000000002,-5.940752079980704E-4
4.201000000000001,-4.0271242218581875E-4
4.301000000000001,-2.605406157069847E-4
4.401000000000001,-1.58525449778012E-4
4.501,-8.866828672335055E-5
4.601,-4.3882783151208486E-5
4.701,-1.7887509974450842E-5
4.800999999999999,-5.110985914551907E-6
4.900999999999999,-6.102381692188171E-7
5.000999999999999,6.101662865005909E-13
5.100999999999998,6.102332555408553E-7
5.200999999999998,4.670843108189667E-6
5.3009999999999975,1.5240433165409166E-5
5.400999999999997,3.502914933007212E-5
5.500999999999997,6.643389968255796E-5
5.600999999999996,1.115703914805172E-4
5.700999999999996,1.72315383611287E-4
5.800999999999996,2.5031038008917255E-4
5.900999999999995,3.4699145007186926E-4
6.000999999999995,4.6365190642209513E-4
6.100999999999995,6.013598770783357E-4
6.200999999999994,7.611221769060397E-4
6.300999999999994,9.43709203085549E-4
6.400999999999994,0.0011499162302707644
6.500999999999993,0.0013802745297631202
6.600999999999993,0.0016352906336235713
6.7009999999999925,0.0019154657710229292
6.800999999999992,0.0022211118104369394
6.900999999999992,0.002552582989155791
7.0009999999999915,0.0029099046083733396
7.100999999999991,0.0032935147412937607
7.200999999999991,0.0037033107243530697
7.30099999999999,0.004139420936509198
7.40099999999999,0.004601760518465174
7.50099999999999,0.005090563587031903
7.600999999999989,0.005605664403608735
7.700999999999989,0.006147189120196319
7.800999999999989,0.006714681391462639
7.900999999999988,0.0073081915685330534
8.000999999999989,0.00792757381066942
8.100999999999988,0.008572666352895218
8.200999999999988,0.009243295475440547
8.300999999999988,0.009939269620392547
8.400999999999987,0.010660383536432057
8.500999999999987,0.011406421019766329
8.600999999999987,0.012177155893033108
8.700999999999986,0.01297234827462816
8.800999999999986,0.013791760184046284
8.900999999999986,0.014635139438500474
9.000999999999985,0.015502229967002313
9.100999999999985,0.01639278151579678
9.200999999999985,0.017306516340873324
9.300999999999984,0.018243172807862466
9.400999999999984,0.019202481492010638
9.500999999999983,0.020184171302748473
9.600999999999983,0.021187938825251017
9.700999999999983,0.02221355314137408
9.800999999999982,0.023260720173967134
9.900999999999982,0.024329163429514026
10.000999999999982,0.025418652949085064
10.100999999999981,0.026528846031572715
10.200999999999981,0.02765949873056017
10.30099999999998,0.028810339983291907
10.40099999999998,0.029981027870046285
10.50099999999998,0.031171401710285866
10.60099999999998,0.032381145694388665
10.70099999999998,0.03360999165664803
10.800999999999979,0.03485779232620726
10.900999999999978,0.036124103211923234
11.000999999999978,0.037408745515072804
11.100999999999978,0.0387113258748362
11.200999999999977,0.04003180416282194
11.300999999999977,0.041369833610312275
11.400999999999977,0.04272533834397517
11.500999999999976,0.04409779869724199
11.600999999999976,0.045487092362518536
11.700999999999976,0.04689274051604302
11.800999999999975,0.048314881279188364
11.900999999999975,0.049753112049269875
12.000999999999975,0.05120755177530676
12.100999999999974,0.05267741517578581
12.200999999999974,0.054162343596319176
12.300999999999974,0.05566270162705898
12.400999999999973,0.057178435723037956
12.500999999999973,0.058708666938212035
12.600999999999972,0.060252962606668826
12.700999999999972,0.061812329370772606
12.800999999999972,0.06338556691446937
12.900999999999971,0.06497219307894897
13.000999999999971,0.06657338312126847
13.10099999999997,0.06818779265791904
13.20099999999997,0.0698148217048167
13.30099999999997,0.07145613907343515
13.40099999999997,0.07310923274509998
13.50099999999997,0.07477624980803363
13.600999999999969,0.07645457835263178
13.700999999999969,0.07814663117651226
13.800999999999968,0.07985009468409338
13.900999999999968,0.08156498540924056
